N,P,K,temperature,humidity,ph,rainfall,label,fertilizer_type,pesticide_type,irigation_level,base_yield,crop_yield(per hectre),climate_suitability,disease_risk_predcition
36,55,20,27.01470397,84.34262707,6.635968698,55.296354,mungbean,Phosphorus-Rich,Fungicide,High,385.7173394,264.9272159,High,High
10,56,16,28.17432665,81.04554836,6.828187499,36.35720652,mungbean,Phosphorus-Rich,Insecticide,High,290.1667903,204.973695,High,Moderate
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,mungbean,Phosphorus-Rich,Fungicide,High,338.799672,173.6606235,Medium,High
9,57,24,29.89232778,89.71503316,7.165121109,42.99498978,mungbean,Phosphorus-Rich,Fungicide,High,307.7428821,142.8818891,Medium,High
34,59,23,28.56212158,83.24855855,6.935804256,56.48265193,mungbean,Phosphorus-Rich,Fungicide,High,393.7988324,254.7199402,High,High
31,51,25,27.53592929,85.5701901,7.196774236,53.01899249,mungbean,Phosphorus-Rich,Fungicide,High,366.8708575,235.3266064,Medium,High
0,49,18,29.68361658,87.93598094,6.990095452,41.82490236,mungbean,Neutral,Fungicide,High,246.0084818,125.0262629,Medium,High
21,39,20,28.14448546,82.1193047,7.064782138,46.75690086,mungbean,Neutral,Fungicide,High,292.7871712,200.886574,High,High
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,mungbean,Neutral,Fungicide,High,314.1643771,169.1458958,Medium,High
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean,Phosphorus-Rich,Fungicide,High,309.1777094,188.5714719,Medium,High
24,42,23,28.22471276,82.35916228,6.428054409,44.01206619,mungbean,Neutral,Fungicide,High,315.4952676,213.9410777,High,High
28,46,16,29.008124,84.96089355,6.664187809,45.91011391,mungbean,Neutral,Fungicide,High,331.1830353,196.9680531,High,High
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,mungbean,Neutral,Fungicide,High,295.675471,158.1950638,Medium,High
34,60,25,29.78416743,85.16906976,6.79385576,40.77872823,mungbean,Phosphorus-Rich,Fungicide,High,401.4287758,224.6136538,Medium,High
19,53,22,27.8640132,80.4513142,6.852884643,42.83053902,mungbean,Phosphorus-Rich,Insecticide,High,322.5619991,235.6950167,High,Moderate
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,mungbean,Phosphorus-Rich,Fungicide,High,368.6688422,247.1993393,High,High
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582,mungbean,Neutral,Fungicide,High,281.8738876,196.4707875,High,High
24,53,17,28.95451232,89.07866095,6.421271178,57.65901369,mungbean,Phosphorus-Rich,Fungicide,High,338.6108064,174.2253804,Medium,High
13,47,20,29.21780035,87.93724219,6.54450214,43.1386631,mungbean,Neutral,Fungicide,High,289.1365856,152.3248854,Medium,High
31,53,16,28.7420098,85.81675947,6.452006451,48.54598575,mungbean,Phosphorus-Rich,Fungicide,High,359.4836635,211.4727425,Medium,High
28,45,23,29.65021184,80.29868321,6.489259136,56.76278363,mungbean,Neutral,Insecticide,High,336.8993794,223.1289516,High,Moderate
31,37,21,27.23924995,86.404241,6.713410626,37.31236904,mungbean,Neutral,Fungicide,High,326.1339446,207.6262559,Medium,High
33,60,15,28.95172351,81.67085323,6.510840928,56.51103293,mungbean,Phosphorus-Rich,Insecticide,High,380.1638907,251.9717125,High,Moderate
34,45,21,28.18837136,82.60629652,6.287380117,37.01110438,mungbean,Neutral,Fungicide,High,355.114475,239.5683268,High,High
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,mungbean,Phosphorus-Rich,Fungicide,High,319.8644213,191.3207276,Medium,High
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,mungbean,Phosphorus-Rich,Fungicide,High,379.0477827,213.8105033,Medium,High
32,57,22,28.6899851,87.50436797,6.769415888,44.56598352,mungbean,Phosphorus-Rich,Fungicide,High,382.9546089,213.1513239,Medium,High
23,59,25,27.8262623,88.73100226,6.320768488,56.68833819,mungbean,Phosphorus-Rich,Fungicide,High,360.9996112,204.5470954,Medium,High
35,41,18,28.70562673,81.59200689,6.705008504,59.87065439,mungbean,Neutral,Insecticide,High,343.9197055,231.8769912,High,Moderate
6,48,24,28.6362812,84.61431076,6.790736339,48.48319335,mungbean,Neutral,Fungicide,High,270.6776114,166.8852356,High,High
29,36,25,28.28511547,88.4393979,7.130278657,48.56690235,mungbean,Neutral,Fungicide,High,324.6917311,179.9087735,Medium,High
4,36,22,27.60887393,86.13316408,7.012740397,43.80041104,mungbean,Neutral,Fungicide,High,230.7669976,144.7521441,Medium,High
10,59,22,28.60901145,86.99495766,7.155685016,36.94616965,mungbean,Phosphorus-Rich,Fungicide,High,310.5841838,177.0404353,Medium,High
14,48,21,29.24598976,84.80084105,6.991242362,53.43228915,mungbean,Neutral,Fungicide,High,294.7772964,173.4549758,High,High
8,50,21,28.62911222,89.1148059,6.218923893,50.49913241,mungbean,Neutral,Fungicide,High,280.8721733,147.9699191,Medium,High
20,40,15,29.57329479,88.07505524,7.199495368,45.04467075,mungbean,Neutral,Fungicide,High,289.003669,147.348724,Medium,High
36,43,22,27.82684262,87.16679147,6.389882166,58.37249772,mungbean,Neutral,Fungicide,High,361.061549,215.8693363,Medium,High
14,57,15,29.8757015,83.14796296,6.623438282,40.12044158,mungbean,Phosphorus-Rich,Fungicide,High,307.789339,183.5336381,High,High
11,60,23,27.33684386,88.50229102,7.033012777,51.09802625,mungbean,Phosphorus-Rich,Fungicide,High,317.9708497,187.8457391,Medium,High
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,mungbean,Phosphorus-Rich,Fungicide,High,302.4468929,143.6567647,Medium,High
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,mungbean,Phosphorus-Rich,Fungicide,High,304.2763786,203.2769319,High,High
2,47,15,29.86860065,85.99127934,6.401455706,58.41394143,mungbean,Neutral,Fungicide,High,242.4896481,130.8750548,Medium,High
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,mungbean,Neutral,Fungicide,High,313.1674345,147.455377,Medium,High
2,39,15,28.07219563,82.9116472,6.478557136,49.61865305,mungbean,Neutral,Fungicide,High,219.2047448,147.5604866,High,High
27,40,24,27.84026517,89.99615558,7.063022095,52.84626009,mungbean,Neutral,Fungicide,High,326.7699055,176.7007877,Medium,High
35,48,15,27.10818093,87.4512669,6.981758362,55.03723979,mungbean,Neutral,Fungicide,High,359.1573049,223.0119134,Medium,High
4,59,25,27.68515114,81.94268594,6.227134139,54.62243308,mungbean,Phosphorus-Rich,Insecticide,High,290.3137325,205.5490424,High,Moderate
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,mungbean,Neutral,Fungicide,High,254.3395924,144.5542212,Medium,High
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,mungbean,Neutral,Fungicide,High,358.6061717,223.2569503,High,High
11,46,24,27.65280218,89.80650642,6.459252023,56.52558045,mungbean,Neutral,Fungicide,High,285.5061456,157.6112079,Medium,High
34,47,19,27.31372793,85.44815232,6.568795404,53.15223123,mungbean,Neutral,Fungicide,High,358.1198737,233.7704244,Medium,High
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,mungbean,Neutral,Fungicide,High,304.2948843,192.7807885,Medium,High
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,mungbean,Phosphorus-Rich,Fungicide,High,328.5028953,201.4712793,Medium,High
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,mungbean,Neutral,Insecticide,High,309.8700508,223.7792765,High,Moderate
2,38,18,27.53632932,89.92908171,6.619891498,45.48591922,mungbean,Neutral,Fungicide,High,224.9865125,124.698503,Medium,High
9,48,20,29.66461594,84.28187572,6.377568542,56.09542002,mungbean,Neutral,Fungicide,High,275.8008182,160.5330236,High,High
37,49,25,29.9145443,85.85384444,6.415459592,41.39081525,mungbean,Neutral,Fungicide,High,384.9439421,208.1102953,Medium,High
36,38,15,28.36363858,87.59810657,6.320662012,57.99524359,mungbean,Neutral,Fungicide,High,338.7497748,192.3339669,Medium,High
40,58,15,29.46416042,87.60890009,6.978400282,43.15411472,mungbean,Phosphorus-Rich,Fungicide,High,403.6366684,211.319611,Medium,High
30,44,16,29.73013036,82.89166381,6.442335593,50.91511275,mungbean,Neutral,Fungicide,High,332.5191026,201.9205988,High,High
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,mungbean,Phosphorus-Rich,Fungicide,High,279.7807179,171.2293258,Medium,High
9,48,22,27.77076285,87.09979549,6.402926221,49.50812624,mungbean,Neutral,Fungicide,High,278.9764876,167.7924104,Medium,High
14,41,17,29.12939524,88.48312598,7.085982325,36.45012824,mungbean,Neutral,Fungicide,High,273.3933918,142.0129044,Medium,High
35,52,19,27.10606808,89.89593328,6.698574085,37.45680611,mungbean,Phosphorus-Rich,Fungicide,High,376.6224144,215.4740485,Medium,High
31,48,17,28.88078945,86.94206817,6.594739424,53.79732545,mungbean,Neutral,Fungicide,High,349.2698725,195.6647053,Medium,High
4,41,20,28.14720892,83.8001509,6.647965508,37.44800463,mungbean,Neutral,Fungicide,High,239.2978577,156.1160619,High,High
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,mungbean,Neutral,Insecticide,High,326.9999561,214.4251558,High,Moderate
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216,mungbean,Neutral,Insecticide,High,239.5200556,176.7852708,High,Moderate
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,mungbean,Neutral,Fungicide,High,299.6109702,147.8910051,Medium,High
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159,mungbean,Neutral,Fungicide,High,385.8138995,192.3079218,Medium,High
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean,Neutral,Fungicide,High,330.3620372,219.0120904,High,High
14,37,15,27.96235681,83.97586797,6.581351374,48.9366954,mungbean,Neutral,Fungicide,High,256.7554062,168.5013758,High,High
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,mungbean,Neutral,Insecticide,High,303.5929079,195.645418,High,Moderate
5,45,21,28.36291385,88.00989267,6.487124217,43.05130077,mungbean,Neutral,Fungicide,High,256.9962667,143.8071934,Medium,High
22,37,20,27.62749466,86.49366929,6.605733068,39.26137642,mungbean,Neutral,Fungicide,High,293.4981973,181.7664941,Medium,High
40,51,17,28.66086349,86.12194568,6.860602782,50.01534317,mungbean,Phosphorus-Rich,Fungicide,High,387.6018582,226.9060607,Medium,High
27,56,20,29.2114218,87.11497805,6.41874299,51.53848218,mungbean,Phosphorus-Rich,Fungicide,High,360.1381243,195.7448544,Medium,High
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,mungbean,Neutral,Fungicide,High,336.723496,186.7856238,Medium,High
38,36,21,28.02952623,84.8845732,6.556372966,36.12042927,mungbean,Neutral,Fungicide,High,347.8543649,221.0305201,High,High
6,37,17,28.08657178,80.35005927,6.760694228,38.14476781,mungbean,Neutral,Insecticide,High,229.679293,166.246361,High,Moderate
6,47,18,29.16174608,80.28038146,6.715276663,40.16545979,mungbean,Neutral,Insecticide,High,256.9976257,175.3253551,High,Moderate
24,44,17,29.8596912,80.03499648,6.666380512,50.66487502,mungbean,Neutral,Insecticide,High,311.4087508,205.2794099,High,Moderate
25,59,19,29.06631494,83.6869203,6.626629798,43.95183726,mungbean,Phosphorus-Rich,Fungicide,High,356.9652041,220.5661568,High,High
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,mungbean,Phosphorus-Rich,Fungicide,High,378.6082957,221.6884882,Medium,High
8,45,18,27.93034941,85.42058715,7.011030515,43.25095608,mungbean,Neutral,Fungicide,High,261.0966318,164.1404552,Medium,High
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,mungbean,Neutral,Insecticide,High,282.0052441,182.4660336,High,Moderate
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208,mungbean,Neutral,Fungicide,High,344.9713207,213.4022661,High,High
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,mungbean,Neutral,Fungicide,High,330.7740204,200.4906599,Medium,High
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245,mungbean,Phosphorus-Rich,Fungicide,High,347.712158,185.4161703,Medium,High
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,mungbean,Phosphorus-Rich,Fungicide,High,320.5051245,158.9430836,Medium,High
22,54,20,28.56149805,83.63802195,6.689825155,41.013132,mungbean,Phosphorus-Rich,Fungicide,High,335.0320116,214.1066425,High,High
29,45,16,28.43683487,87.91332682,6.583381939,43.12063289,mungbean,Neutral,Fungicide,High,333.497464,186.2728971,Medium,High
4,40,21,28.79728147,80.45744422,6.725551062,44.30070517,mungbean,Neutral,Insecticide,High,236.8122917,164.1685717,High,Moderate
10,37,22,28.7275267,89.12760359,7.069747814,58.52974279,mungbean,Neutral,Fungicide,High,256.9585835,134.2943828,Medium,High
4,44,19,27.95639663,83.52706038,6.921993878,43.25726752,mungbean,Neutral,Fungicide,High,244.9813535,163.0317902,High,High
20,45,17,28.17458662,83.69659318,6.770955317,37.2464655,mungbean,Neutral,Fungicide,High,300.7576252,196.5054898,High,High
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,mungbean,Neutral,Fungicide,High,322.536032,183.6505319,Medium,High
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,mungbean,Neutral,Fungicide,High,331.8444258,214.6905497,High,High
56,79,15,29.48439992,63.19915325,7.454532137,71.89090748,blackgram,Phosphorus-Rich,Insecticide,High,497.5070119,502.9420462,Medium,Low
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram,Phosphorus-Rich,Insecticide,High,356.27147,364.1486571,Medium,Low
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram,Phosphorus-Rich,Insecticide,High,410.8910844,475.651984,Medium,Low
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,blackgram,Phosphorus-Rich,Insecticide,High,454.5561165,340.2757804,Medium,Low
44,58,18,28.03644051,65.06601664,6.814410928,72.49507741,blackgram,Phosphorus-Rich,Insecticide,High,407.4687624,420.3063293,Medium,Low
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,blackgram,Phosphorus-Rich,Insecticide,High,418.7529144,416.6556705,Medium,Low
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,blackgram,Phosphorus-Rich,Insecticide,High,419.8017043,338.8125204,Medium,Low
30,64,20,33.8642935,61.57072498,6.573531614,68.02199825,blackgram,Phosphorus-Rich,Insecticide,High,379.0338698,329.1141086,Medium,Low
27,64,21,32.84213012,68.68401492,7.543804223,73.67166182,blackgram,Phosphorus-Rich,Insecticide,High,373.484113,286.4317252,Medium,Low
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,blackgram,Phosphorus-Rich,Insecticide,High,465.1969397,513.1332401,Medium,Low
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,blackgram,Phosphorus-Rich,Insecticide,High,432.2361551,520.5417533,Medium,Low
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,blackgram,Phosphorus-Rich,Insecticide,High,490.3466689,406.0538376,Medium,Low
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,blackgram,Phosphorus-Rich,Insecticide,High,452.6646529,409.3304472,Medium,Low
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,blackgram,Phosphorus-Rich,Insecticide,High,476.50632,401.1755973,Medium,Low
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,blackgram,Phosphorus-Rich,Insecticide,High,426.5281686,445.7103921,Medium,Low
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,blackgram,Phosphorus-Rich,Insecticide,High,399.1772348,344.8504334,Medium,Low
59,55,19,31.74379487,62.51007687,7.332375138,68.97097538,blackgram,Phosphorus-Rich,Insecticide,High,455.401082,425.4950149,Medium,Low
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,blackgram,Phosphorus-Rich,Insecticide,High,434.2533776,474.057375,Medium,Low
30,65,25,32.88733849,64.59457409,7.70650895,71.50569456,blackgram,Phosphorus-Rich,Insecticide,High,390.0666152,330.346862,Medium,Low
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,blackgram,Phosphorus-Rich,Insecticide,High,334.4833275,327.7908252,Medium,Low
58,71,15,27.82592799,67.5861883,6.919243702,74.01229707,blackgram,Phosphorus-Rich,Insecticide,High,485.8124554,480.7224595,Medium,Low
25,71,24,28.49538735,60.44848407,7.187721818,74.91559514,blackgram,Phosphorus-Rich,Insecticide,High,380.0654003,420.1617013,Medium,Low
52,71,16,27.74274761,68.53997144,7.075886472,71.78615328,blackgram,Phosphorus-Rich,Insecticide,High,466.818181,454.5755319,Medium,Low
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,blackgram,Phosphorus-Rich,Insecticide,High,409.4306505,362.093693,Medium,Low
20,60,25,27.3254209,69.09047809,6.726469088,61.19250859,blackgram,Phosphorus-Rich,Insecticide,High,340.8146236,333.8133377,Medium,Low
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,blackgram,Phosphorus-Rich,Insecticide,High,433.2437437,437.1541701,Medium,Low
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,blackgram,Phosphorus-Rich,Insecticide,High,454.2743967,491.021391,Medium,Low
48,62,15,25.36586097,66.6379724,7.538631462,65.81655892,blackgram,Phosphorus-Rich,Insecticide,High,425.7754722,471.2864903,Medium,Low
32,66,17,34.9466155,65.26774011,7.162357641,70.1415139,blackgram,Phosphorus-Rich,Insecticide,High,389.6179365,292.6280751,Medium,Low
21,63,22,25.09737391,67.72837887,6.859409487,74.61649888,blackgram,Phosphorus-Rich,Insecticide,High,344.7149265,377.7458782,Medium,Low
20,72,19,32.47648301,64.34848735,7.397190844,65.820457,blackgram,Phosphorus-Rich,Insecticide,High,363.0902788,315.2547803,Medium,Low
25,65,21,33.86351172,68.59232289,6.880245789,69.24464096,blackgram,Phosphorus-Rich,Insecticide,High,369.7462031,269.1370312,Medium,Low
41,78,21,25.19857725,60.37332688,6.581313137,70.88787207,blackgram,Phosphorus-Rich,Insecticide,High,446.3828579,553.0121044,Medium,Low
53,67,17,31.77681682,69.01852894,7.296972161,61.46892873,blackgram,Phosphorus-Rich,Insecticide,High,465.3325708,373.5877633,Medium,Low
39,60,21,34.89814946,63.59948557,6.97297656,64.72797143,blackgram,Phosphorus-Rich,Insecticide,High,404.0782109,317.7541383,Medium,Low
25,76,17,31.74105409,68.63525428,7.241148507,62.3061735,blackgram,Phosphorus-Rich,Insecticide,High,389.5739958,316.3092885,Medium,Low
21,78,19,27.16159076,66.76017239,6.92009048,69.85112265,blackgram,Phosphorus-Rich,Insecticide,High,378.785376,391.1400375,Medium,Low
57,60,17,26.23773129,67.88521396,7.504608385,73.58663968,blackgram,Phosphorus-Rich,Insecticide,High,456.7213134,478.2192172,Medium,Low
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,blackgram,Phosphorus-Rich,Insecticide,High,486.2004671,508.0375437,Medium,Low
49,72,15,31.55846339,67.83563765,7.137004749,74.86960831,blackgram,Phosphorus-Rich,Insecticide,High,459.9481533,384.1635592,Medium,Low
24,80,19,29.67892453,69.0854554,6.808041722,65.66436565,blackgram,Phosphorus-Rich,Insecticide,High,397.6944129,352.1255971,Medium,Low
49,76,18,27.05365239,67.7017527,7.393631868,60.4693835,blackgram,Phosphorus-Rich,Insecticide,High,470.7639735,479.285955,Medium,Low
28,68,19,34.63880966,61.38597868,7.69950698,72.43169115,blackgram,Phosphorus-Rich,Insecticide,High,381.0426349,320.4612913,Medium,Low
55,78,21,33.39438752,62.93692886,6.602888249,63.57445989,blackgram,Phosphorus-Rich,Insecticide,High,503.4776673,432.8747534,Medium,Low
50,64,25,28.84079155,63.37230676,6.734447425,70.25496749,blackgram,Phosphorus-Rich,Insecticide,High,453.5960173,468.6580372,Medium,Low
34,80,19,31.49338309,63.0563645,6.521217963,71.48327008,blackgram,Phosphorus-Rich,Insecticide,High,430.5285252,401.8643606,Medium,Low
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,blackgram,Phosphorus-Rich,Insecticide,High,353.3122383,407.4447043,Medium,Low
55,67,16,34.37329112,69.69366426,6.596719015,70.27184748,blackgram,Phosphorus-Rich,Insecticide,High,473.3148315,324.4472212,Medium,Low
23,70,15,34.6008247,63.11296779,7.403623355,60.41790253,blackgram,Phosphorus-Rich,Insecticide,High,363.5484404,293.7439611,Medium,Low
53,74,15,29.43463808,64.94329356,7.517097,72.17818157,blackgram,Phosphorus-Rich,Insecticide,High,475.5136866,465.0676997,Medium,Low
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram,Phosphorus-Rich,Insecticide,High,366.529169,341.5622606,Medium,Low
33,80,22,28.57006111,65.71765781,6.593961761,70.0866434,blackgram,Phosphorus-Rich,Insecticide,High,430.7866436,429.5494241,Medium,Low
37,79,19,27.54384835,69.3478631,7.143942758,69.40878198,blackgram,Phosphorus-Rich,Insecticide,High,439.1437965,424.0251313,Medium,Low
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,blackgram,Phosphorus-Rich,Insecticide,High,422.3007575,318.2599078,Medium,Low
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,blackgram,Phosphorus-Rich,Insecticide,High,333.6390732,232.5263963,Medium,Low
20,68,17,30.11873003,60.11680815,6.578714843,71.72980375,blackgram,Phosphorus-Rich,Insecticide,High,345.6650689,361.9798503,Medium,Low
43,68,20,29.57812712,66.17587668,7.497469256,69.43895491,blackgram,Phosphorus-Rich,Insecticide,High,433.8680277,411.1511237,Medium,Low
44,76,22,27.26458947,68.01232937,7.775306272,68.91754359,blackgram,Phosphorus-Rich,Insecticide,High,459.6190692,461.2063332,Medium,Low
34,60,16,31.35730791,64.24992106,7.322555223,63.85668948,blackgram,Phosphorus-Rich,Insecticide,High,376.635799,344.6190678,Medium,Low
21,72,17,31.52104732,66.55723677,7.580527339,61.71111448,blackgram,Phosphorus-Rich,Insecticide,High,364.1511799,314.0064597,Medium,Low
25,68,19,29.39982732,64.25510719,7.108450121,67.47677295,blackgram,Phosphorus-Rich,Insecticide,High,368.0729262,365.5657472,Medium,Low
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram,Phosphorus-Rich,Insecticide,High,402.996773,401.3597192,Medium,Low
28,65,23,28.38686534,61.88871127,7.405176138,74.24459122,blackgram,Phosphorus-Rich,Insecticide,High,374.842719,405.2180092,Medium,Low
35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,blackgram,Phosphorus-Rich,Insecticide,High,385.9011649,403.1068767,Medium,Low
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,blackgram,Phosphorus-Rich,Insecticide,High,432.199818,434.6821845,Medium,Low
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram,Phosphorus-Rich,Insecticide,High,505.0247879,614.4693016,Medium,Low
34,66,19,32.97030511,60.18122078,7.586642101,73.44678678,blackgram,Phosphorus-Rich,Insecticide,High,394.9849766,368.0655575,Medium,Low
52,70,16,33.66855394,66.60416867,7.534811833,67.32520551,blackgram,Phosphorus-Rich,Insecticide,High,467.8973444,362.8347711,Medium,Low
23,57,19,32.83963757,67.99803573,7.251000789,73.40452716,blackgram,Phosphorus-Rich,Insecticide,High,338.5705315,264.3346706,Medium,Low
42,58,25,27.45853567,62.90020977,6.513620918,69.46020927,blackgram,Phosphorus-Rich,Insecticide,High,409.2069544,449.283856,Medium,Low
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram,Phosphorus-Rich,Insecticide,High,392.4547378,404.22136,Medium,Low
44,75,22,30.0328403,64.14800537,7.574561547,71.21006868,blackgram,Phosphorus-Rich,Insecticide,High,457.0150755,443.3091388,Medium,Low
21,80,20,28.20667264,68.27085245,7.350869792,64.32887142,blackgram,Phosphorus-Rich,Insecticide,High,387.0278496,371.7788151,Medium,Low
56,76,16,28.27265858,61.18956161,7.513151076,63.29900785,blackgram,Phosphorus-Rich,Insecticide,High,489.3318638,538.0624789,Medium,Low
29,76,15,28.5417236,64.2020154,7.025607706,69.68862306,blackgram,Phosphorus-Rich,Insecticide,High,395.3545881,406.6515877,Medium,Low
43,61,20,26.87187036,61.61367264,6.804253866,63.51822045,blackgram,Phosphorus-Rich,Insecticide,High,411.4656999,472.0068426,Medium,Low
55,60,15,32.79766751,68.77994074,7.163043872,64.11411069,blackgram,Phosphorus-Rich,Insecticide,High,452.5060985,346.9717595,Medium,Low
44,63,15,26.42333018,64.51136845,7.338929556,63.46546487,blackgram,Phosphorus-Rich,Insecticide,High,413.8454852,458.177865,Medium,Low
29,67,21,29.79181107,63.38789228,6.621323612,63.02169909,blackgram,Phosphorus-Rich,Insecticide,High,382.3661842,380.3982646,Medium,Low
47,63,16,27.44003279,67.10464369,6.661870999,72.50669768,blackgram,Phosphorus-Rich,Insecticide,High,428.2148124,434.4622159,Medium,Low
40,68,17,34.1262979,65.14877461,7.733149554,70.40795007,blackgram,Phosphorus-Rich,Insecticide,High,421.8903031,331.7138631,Medium,Low
58,61,15,30.94908189,64.23364112,7.402891666,62.78730907,blackgram,Phosphorus-Rich,Insecticide,High,461.2994502,429.7684804,Medium,Low
41,74,18,28.75751783,61.02701476,6.599147298,73.37686831,blackgram,Phosphorus-Rich,Insecticide,High,435.1222231,471.4299491,Medium,Low
58,79,17,27.24766491,66.10123083,7.04174124,62.31842057,blackgram,Phosphorus-Rich,Insecticide,High,507.4588704,528.9509649,Medium,Low
27,62,24,28.63005477,66.770943,7.353876754,62.2737345,blackgram,Phosphorus-Rich,Insecticide,High,368.4666096,358.7621384,Medium,Low
27,60,17,26.41768321,63.64698302,7.026795359,64.42177127,blackgram,Phosphorus-Rich,Insecticide,High,349.3223364,392.8606886,Medium,Low
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,blackgram,Phosphorus-Rich,Insecticide,High,460.4476326,376.8618768,Medium,Low
44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,blackgram,Phosphorus-Rich,Insecticide,High,412.2538439,391.9410256,Medium,Low
21,62,24,33.49077065,62.73317204,6.847382891,65.45328463,blackgram,Phosphorus-Rich,Insecticide,High,348.9325197,300.078245,Medium,Low
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,blackgram,Phosphorus-Rich,Insecticide,High,476.0400831,402.111626,Medium,Low
33,77,21,30.32992227,65.62971858,7.01285529,71.64631281,blackgram,Phosphorus-Rich,Insecticide,High,423.141769,392.8838902,Medium,Low
59,58,17,28.546224,66.31394098,7.368318809,62.83469851,blackgram,Phosphorus-Rich,Insecticide,High,459.6253438,453.262208,Medium,Low
29,63,17,30.02629908,67.88811637,7.26154329,66.47264636,blackgram,Phosphorus-Rich,Insecticide,High,369.2539091,330.655543,Medium,Low
59,63,18,31.65531175,60.13263713,6.52669158,66.69096751,blackgram,Phosphorus-Rich,Insecticide,High,472.4038317,465.515422,Medium,Low
29,70,15,30.33499674,63.54718862,6.872594461,74.16699119,blackgram,Phosphorus-Rich,Insecticide,High,381.3963106,369.9315214,Medium,Low
58,73,16,33.36984395,65.67718163,6.874142175,64.89517488,blackgram,Phosphorus-Rich,Insecticide,High,495.6021841,399.4287017,Medium,Low
55,77,22,31.4345059,62.99303471,7.76061831,64.77651469,blackgram,Phosphorus-Rich,Insecticide,High,500.9434255,469.4053649,Medium,Low
42,79,23,27.71678273,63.29103387,6.781841984,68.56507978,blackgram,Phosphorus-Rich,Insecticide,High,459.1480465,495.7842099,Medium,Low
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,blackgram,Phosphorus-Rich,Insecticide,High,460.8918924,425.2640415,Medium,Low
38,62,25,32.7477393,67.77954584,7.453975408,63.37784443,blackgram,Phosphorus-Rich,Insecticide,High,412.3659189,325.2672725,Medium,Low
